Distance_(microns)	Gray_Value
0.000	22.000
0.104	29.135
0.208	34.918
0.311	39.413
0.415	56.316
0.519	55.969
0.623	64.873
0.726	68.798
0.830	75.714
0.934	71.810
1.038	66.900
1.142	55.783
1.245	69.492
1.349	48.158
1.453	37.469
1.557	35.392
1.661	37.426
1.764	30.970
1.868	31.048
1.972	27.187
2.076	28.653
2.179	32.148
2.283	23.958
2.387	20.881
2.491	20.551
2.595	17.174
2.698	14.051
2.802	15.571
2.906	20.230
3.010	20.093
3.113	16.761
3.217	15.511
3.321	18.239
3.425	32.847
3.529	34.761
3.632	36.769
3.736	42.237
3.840	56.935
3.944	77.040
4.048	109.714
4.151	144.643
4.255	159.924
4.359	154.002
4.463	146.653
4.566	110.001
4.670	70.976
4.774	56.194
4.878	49.457
4.982	37.546
5.085	37.429
5.189	39.290
5.293	22.535
5.397	27.446
5.501	24.530
5.604	21.429
5.708	21.779
5.812	20.415
5.916	26.507
6.019	16.353
6.123	17.477
6.227	12.448
6.331	17.122
6.435	17.402
6.538	25.331
6.642	22.262
6.746	16.401
6.850	22.312
6.953	21.430
7.057	33.816
7.161	59.799
7.265	68.935
7.369	102.322
7.472	125.803
7.576	154.111
7.680	171.253
7.784	195.758
7.888	201.115
7.991	193.186
8.095	172.963
8.199	170.109
8.303	124.034
8.406	103.369
8.510	66.810
8.614	82.213
8.718	50.083
8.822	44.933
8.925	38.731
9.029	24.700
9.133	31.398
9.237	24.828
9.340	23.709
9.444	35.494
9.548	32.956
9.652	39.304
9.756	53.892
9.859	60.454
9.963	73.136
10.067	80.604
10.171	117.883
10.275	143.463
10.378	181.562
10.482	177.756
10.586	204.199
10.690	225.169
10.793	187.529
10.897	174.797
11.001	177.157
11.105	156.796
11.209	141.013
11.312	97.225
11.416	82.531
11.520	70.713
11.624	68.602
11.728	63.348
11.831	69.142
11.935	51.329
12.039	43.922
12.143	37.855
12.246	46.818
12.350	38.943
12.454	32.812
12.558	34.866
12.662	34.949
12.765	31.130
12.869	36.454
12.973	34.434
13.077	49.661
13.180	53.141
13.284	49.739
13.388	44.888
13.492	61.869
13.596	64.898
13.699	59.477
13.803	50.668
13.907	60.826
14.011	60.638
14.115	53.190
14.218	62.831
14.322	67.403
14.426	62.991
14.530	77.212
14.633	82.550
14.737	82.144
14.841	94.948
14.945	127.464
15.049	140.198
15.152	177.714
15.256	185.669
15.360	182.841
15.464	206.519
15.567	224.070
15.671	225.201
15.775	206.598
15.879	199.066
15.983	167.996
16.086	139.385
16.190	117.246
16.294	125.005
16.398	106.349
16.502	78.159
16.605	57.489
16.709	42.094
16.813	31.290
16.917	24.899
17.020	35.906
17.124	31.795
17.228	44.501
17.332	21.172
17.436	24.143
17.539	26.795
17.643	32.565
17.747	39.078
17.851	29.073
17.954	40.289
18.058	31.084
18.162	36.212
18.266	29.272
18.370	22.952
18.473	34.054
18.577	22.229
18.681	21.709
18.785	19.261
18.889	20.556
18.992	20.625
19.096	21.349
19.200	17.173
19.304	13.698
19.407	13.252
19.511	16.744
19.615	17.499
19.719	21.095
19.823	15.816
19.926	17.539
20.030	21.674
20.134	24.333
20.238	29.652
20.342	35.209
20.445	30.592
20.549	35.234
20.653	36.850
20.757	36.156
20.860	46.550
20.964	47.527
21.068	58.521
21.172	47.211
21.276	38.667
21.379	34.241
21.483	23.463
21.587	18.988
21.691	29.570
21.794	21.041
21.898	19.419
22.002	17.896
22.106	15.045
22.210	13.624
22.313	13.420
22.417	13.284
22.521	16.053
22.625	15.156
22.729	18.889
22.832	14.706
22.936	24.241
23.040	25.034
23.144	21.779
23.247	22.766
23.351	32.945
23.455	46.325
23.559	35.771
23.663	30.113
23.766	26.555
23.870	28.781
23.974	30.593
24.078	26.353
24.181	20.385
24.285	12.909
24.389	15.519
24.493	23.131
24.597	22.618
24.700	23.202
24.804	23.661
24.908	26.593
25.012	24.091
25.116	26.170
25.219	26.708
25.323	31.183
25.427	30.018
25.531	34.632
25.634	25.971
25.738	25.537
25.842	30.721
25.946	20.983
26.050	14.628
26.153	16.660
26.257	19.534
26.361	17.237
