Distance_(microns)	Gray_Value
0.000	15.0000
0.104	14.0374
0.208	14.4158
0.311	9.2930
0.415	8.7245
0.519	10.6088
0.623	9.1164
0.726	10.8019
0.830	10.9782
0.934	10.4860
1.038	10.1608
1.142	10.4780
1.245	17.3328
1.349	23.1305
1.453	19.8308
1.557	26.0482
1.661	28.9877
1.764	28.4404
1.868	27.2566
1.972	33.4772
2.076	30.6513
2.179	27.7764
2.283	25.5589
2.387	24.7357
2.491	18.3504
2.595	18.2002
2.698	17.1818
2.802	12.6466
2.906	8.5016
3.010	10.2692
3.113	10.9612
3.217	11.2504
3.321	7.9746
3.425	8.5082
3.529	11.2915
3.632	13.0962
3.736	11.6989
3.840	9.6830
3.944	8.5301
4.048	13.4551
4.151	11.7854
4.255	12.7915
4.359	16.9321
4.463	20.1466
4.566	19.5526
4.670	29.1938
4.774	35.7541
4.878	34.1377
4.982	42.2239
5.085	47.3684
5.189	39.5933
5.293	37.8252
5.397	40.6960
5.501	36.5844
5.604	26.6670
5.708	21.3727
5.812	23.3173
5.916	17.5360
6.019	10.0246
6.123	14.2004
6.227	11.4592
6.331	14.8950
6.435	20.6002
6.538	11.7615
6.642	8.1475
6.746	9.1281
6.850	10.0096
6.953	13.8262
7.057	12.4182
7.161	13.7091
7.265	11.8969
7.369	12.3507
7.472	12.4360
7.576	12.3599
7.680	10.3743
7.784	11.4988
7.888	17.3077
7.991	17.1876
8.095	13.0511
8.199	11.8380
8.303	12.5976
8.406	17.7829
8.510	20.7918
8.614	20.3762
8.718	28.7871
8.822	27.1295
8.925	26.2996
9.029	33.9582
9.133	40.4593
9.237	42.4116
9.340	45.8515
9.444	26.7048
9.548	32.8559
9.652	32.4860
9.756	30.8857
9.859	23.9280
9.963	20.6931
10.067	14.7092
10.171	16.9510
10.275	15.5926
10.378	15.9322
10.482	14.5205
10.586	14.6922
10.690	11.1728
10.793	12.0489
10.897	13.2144
11.001	11.0885
11.105	12.0835
11.209	17.6254
11.312	27.0019
11.416	30.9023
11.520	38.6086
11.624	33.5321
11.728	37.6717
11.831	28.6592
11.935	29.4853
12.039	33.5727
12.143	35.5243
12.246	41.2042
12.350	32.9426
12.454	27.3409
12.558	21.9079
12.662	19.2338
12.765	19.6824
12.869	17.2371
12.973	12.7964
13.077	14.7518
13.180	14.4923
13.284	14.0805
13.388	12.1055
13.492	15.3416
13.596	15.5998
13.699	18.6222
13.803	18.4566
13.907	24.2658
14.011	29.4741
14.115	30.0849
14.218	27.2843
14.322	26.9623
14.426	33.6673
14.530	35.5970
14.633	35.0487
14.737	37.5285
14.841	23.4293
14.945	19.0753
15.049	25.1593
15.152	16.5942
15.256	20.1786
15.360	24.1856
15.464	15.0431
15.567	14.0305
15.671	13.0470
15.775	11.0434
15.879	12.8543
15.983	12.9279
16.086	12.0837
16.190	7.8334
16.294	14.8922
16.398	15.5622
16.502	10.8780
16.605	24.4761
16.709	22.5106
16.813	18.8021
16.917	20.8956
17.020	18.1974
17.124	14.9793
17.228	26.5551
17.332	26.1385
17.436	21.9240
17.539	18.4625
17.643	17.2566
17.747	13.4014
17.851	15.9171
17.954	18.9043
18.058	11.7731
18.162	11.5200
18.266	15.3002
18.370	8.7356
18.473	8.4782
18.577	11.1049
18.681	14.5967
18.785	12.4096
18.889	13.3816
18.992	18.0835
19.096	14.3682
19.200	17.8218
19.304	18.8306
19.407	16.9405
19.511	17.0334
19.615	22.7534
19.719	23.5700
19.823	21.2745
19.926	23.2130
20.030	19.6514
20.134	24.6917
20.238	26.0670
20.342	18.7672
20.445	17.4850
20.549	16.2502
20.653	14.2742
20.757	15.4037
20.860	11.9570
20.964	11.1080
21.068	9.6940
21.172	9.0974
21.276	8.3497
21.379	9.9303
21.483	7.8692
21.587	8.0096
21.691	11.1624
21.794	11.9961
21.898	13.5079
22.002	13.0380
22.106	16.8076
22.210	15.0215
22.313	19.2043
22.417	39.1639
22.521	38.5195
22.625	36.1951
22.729	43.2485
22.832	49.7328
22.936	47.8033
23.040	51.2707
23.144	37.3580
23.247	40.0027
23.351	42.5004
23.455	39.0890
23.559	30.6099
23.663	23.3735
23.766	25.7838
23.870	18.1248
23.974	11.9641
24.078	10.9401
24.181	11.3671
24.285	12.8739
24.389	14.0179
24.493	7.5667
24.597	9.2079
24.700	10.6033
24.804	10.2899
24.908	10.7309
25.012	9.6410
25.116	10.1033
25.219	11.4705
25.323	12.0560
25.427	13.6436
25.531	14.4248
25.634	13.9081
25.738	15.2160
25.842	17.6101
25.946	17.1149
26.050	21.1221
26.153	29.8175
26.257	28.9958
26.361	36.2545
26.465	24.2658
26.569	24.5943
26.672	23.6189
26.776	16.2313
26.880	13.5241
26.984	15.1295
27.087	14.5449
27.191	14.9962
27.295	13.1913
27.399	13.9139
27.503	12.2490
27.606	10.0935
27.710	9.8918
27.814	9.7260
27.918	9.5065
28.021	9.7597
28.125	8.9360
28.229	9.0403
28.333	8.1668
28.437	10.1831
28.540	12.8935
28.644	13.1822
28.748	10.4667
28.852	14.8464
28.956	16.1629
29.059	19.9161
29.163	30.4848
29.267	36.2932
29.371	42.3639
29.474	38.1535
29.578	41.6186
29.682	40.7911
29.786	46.6543
29.890	45.9390
29.993	41.1730
30.097	40.3787
30.201	32.9962
30.305	29.9519
30.408	28.8622
30.512	32.8953
30.616	20.1778
30.720	16.8334
30.824	14.2481
30.927	16.3270
31.031	13.2240
31.135	16.2985
31.239	12.9796
31.343	17.9468
31.446	21.0145
31.550	24.9355
31.654	22.6959
31.758	20.2392
31.861	26.7811
31.965	31.4406
32.069	34.5443
32.173	47.1314
32.277	44.2971
32.380	45.4956
32.484	46.5361
32.588	48.8145
32.692	50.7955
32.796	42.9078
32.899	36.3301
33.003	40.6419
33.107	36.3425
33.211	19.2010
33.314	15.3034
33.418	16.6019
33.522	20.7551
33.626	19.2154
33.730	15.7960
33.833	16.8169
33.937	22.5751
34.041	22.4494
34.145	24.1619
34.248	27.7424
34.352	31.2009
34.456	31.3116
34.560	22.4295
34.664	26.1773
34.767	25.5178
34.871	27.4760
34.975	18.5500
35.079	17.7404
35.183	18.1202
35.286	16.0590
35.390	19.5436
35.494	15.8409
35.598	17.4193
35.701	18.6746
35.805	15.7071
35.909	12.2979
36.013	13.1609
36.117	10.7773
36.220	10.7437
36.324	13.4822
36.428	14.9884
36.532	19.5390
36.635	22.8730
36.739	24.0742
36.843	22.3774
36.947	26.5115
37.051	19.7863
37.154	17.9351
37.258	16.2428
37.362	16.1577
37.466	20.3737
37.570	18.9751
37.673	19.6141
37.777	15.4229
37.881	16.5062
37.985	18.6184
38.088	21.4977
38.192	16.0387
38.296	13.6727
38.400	13.8247
38.504	9.5632
38.607	14.5466
38.711	14.4305
38.815	11.9921
38.919	9.0039
39.022	7.6450
39.126	8.2701
39.230	11.6182
39.334	9.4885
39.438	8.5795
39.541	10.0393
39.645	10.4128
39.749	10.9142
39.853	9.5004
39.957	9.7774
40.060	11.3172
40.164	11.9573
40.268	12.8741
40.372	12.5847
40.475	17.5796
40.579	22.6442
40.683	17.4502
40.787	19.1230
40.891	25.4079
40.994	22.6948
41.098	18.1793
41.202	12.9451
41.306	18.0359
41.410	17.3313
41.513	18.3939
41.617	19.1623
41.721	14.2501
41.825	15.8957
41.928	11.1491
42.032	16.7698
42.136	14.1789
42.240	9.9142
42.344	10.8370
42.447	11.6699
42.551	9.6644
42.655	8.9984
42.759	9.9922
42.862	8.6366
42.966	8.1759
43.070	11.4683
43.174	10.2709
43.278	8.0813
43.381	11.3838
43.485	12.3624
43.589	13.5610
43.693	20.2658
43.797	20.0192
43.900	16.0509
44.004	22.9117
44.108	32.8172
44.212	24.6062
44.315	19.1226
44.419	25.3085
44.523	27.5673
44.627	25.8394
44.731	27.3886
44.834	22.5569
44.938	24.8579
45.042	30.1895
45.146	17.4442
45.249	17.8245
45.353	19.1668
45.457	24.3481
45.561	19.4025
45.665	10.9358
45.768	14.0522
45.872	11.0520
45.976	11.1631
46.080	14.1979
46.184	17.0637
46.287	12.8045
46.391	14.6885
46.495	18.0426
46.599	16.5314
46.702	19.8339
46.806	27.5803
46.910	22.2253
47.014	22.3178
47.118	31.0634
47.221	37.0008
47.325	39.4099
47.429	33.2428
47.533	32.4124
