Distance_(microns)	Gray_Value
0.000	16.000
0.104	19.715
0.208	23.322
0.311	33.134
0.415	41.384
0.519	54.926
0.623	58.241
0.726	56.727
0.830	68.910
0.934	57.767
1.038	50.906
1.142	57.384
1.245	42.965
1.349	34.232
1.453	33.466
1.557	31.953
1.661	29.972
1.764	20.881
1.868	41.199
1.972	40.980
2.076	43.561
2.179	50.461
2.283	80.385
2.387	72.495
2.491	67.057
2.595	75.481
2.698	74.091
2.802	76.567
2.906	54.772
3.010	47.739
3.113	38.153
3.217	32.772
3.321	27.830
3.425	30.081
3.529	25.463
3.632	21.673
3.736	22.100
3.840	22.765
3.944	21.219
4.048	36.004
4.151	45.706
4.255	40.087
4.359	43.417
4.463	44.640
4.566	40.960
4.670	49.993
4.774	52.070
4.878	49.843
4.982	31.119
5.085	23.953
5.189	24.795
5.293	19.843
5.397	18.038
5.501	16.809
5.604	15.541
5.708	14.973
5.812	14.911
5.916	17.023
6.019	17.334
6.123	15.698
6.227	13.386
6.331	20.099
6.435	27.687
6.538	26.589
6.642	31.225
6.746	36.301
6.850	53.355
6.953	66.539
7.057	67.931
7.161	63.403
7.265	65.614
7.369	76.241
7.472	68.842
7.576	73.932
7.680	57.408
7.784	53.073
7.888	50.567
7.991	53.439
8.095	43.348
8.199	43.808
8.303	33.666
8.406	38.109
8.510	34.775
8.614	25.608
8.718	30.888
8.822	24.421
8.925	30.846
9.029	22.439
9.133	20.005
9.237	25.961
9.340	26.334
9.444	27.102
9.548	19.582
9.652	27.206
9.756	40.926
9.859	33.383
9.963	27.230
10.067	20.417
10.171	28.658
10.275	35.547
10.378	34.751
10.482	42.174
10.586	48.033
10.690	62.962
10.793	55.173
10.897	59.770
11.001	67.095
11.105	73.196
11.209	66.798
11.312	69.580
11.416	58.920
11.520	55.455
11.624	43.821
11.728	32.152
11.831	26.899
11.935	22.062
12.039	15.726
12.143	14.623
12.246	13.103
12.350	11.333
12.454	15.862
12.558	13.379
12.662	12.469
12.765	10.728
12.869	10.823
12.973	14.005
13.077	21.087
13.180	23.036
13.284	23.320
13.388	22.862
13.492	32.780
13.596	34.150
13.699	46.004
13.803	71.347
13.907	84.881
14.011	76.531
14.115	102.414
14.218	111.693
14.322	132.340
