Distance_(microns)	Gray_Value
0.000	26.000
0.104	29.705
0.208	32.745
0.311	35.011
0.415	47.668
0.519	57.364
0.623	62.872
0.726	84.118
0.830	99.713
0.934	82.593
1.038	89.795
1.142	83.379
1.245	83.686
1.349	78.319
1.453	55.330
1.557	43.454
1.661	34.451
1.764	26.416
1.868	18.730
1.972	16.526
2.076	16.728
2.179	15.157
2.283	11.482
2.387	9.827
2.491	10.445
2.595	10.344
2.698	10.416
2.802	9.310
2.906	10.751
3.010	10.112
3.113	8.523
3.217	14.284
3.321	13.368
3.425	22.467
3.529	25.200
3.632	21.583
3.736	30.661
3.840	38.695
3.944	58.335
4.048	56.000
4.151	57.829
4.255	61.671
4.359	72.398
4.463	93.736
4.566	73.372
4.670	82.468
4.774	77.859
4.878	77.867
4.982	64.363
5.085	47.487
5.189	46.515
5.293	37.566
5.397	28.773
5.501	29.152
5.604	28.695
5.708	22.539
5.812	20.122
5.916	20.278
6.019	28.955
6.123	21.641
6.227	21.278
6.331	17.560
6.435	21.143
6.538	15.781
6.642	15.006
6.746	18.352
6.850	24.642
6.953	30.541
7.057	44.056
7.161	44.163
7.265	51.797
7.369	49.399
7.472	64.402
7.576	73.611
7.680	72.147
7.784	69.790
7.888	70.549
7.991	54.026
8.095	43.519
8.199	43.735
8.303	26.455
8.406	21.717
8.510	23.672
8.614	21.887
8.718	15.426
8.822	13.206
8.925	14.419
9.029	14.101
9.133	13.408
9.237	13.542
9.340	19.197
9.444	22.853
9.548	20.321
9.652	18.629
9.756	25.023
9.859	36.773
9.963	41.757
10.067	50.967
10.171	50.584
10.275	72.019
10.378	77.311
10.482	97.316
10.586	108.279
10.690	112.796
10.793	113.114
10.897	111.695
11.001	116.944
11.105	97.484
11.209	84.815
11.312	62.703
11.416	51.577
11.520	51.801
11.624	33.206
11.728	34.291
11.831	29.547
11.935	17.879
12.039	16.043
12.143	11.178
12.246	15.253
12.350	15.031
12.454	15.456
12.558	13.314
12.662	13.151
12.765	18.668
12.869	16.717
12.973	19.203
13.077	21.392
13.180	26.766
13.284	38.816
13.388	38.781
13.492	45.218
13.596	58.259
13.699	61.017
13.803	65.238
13.907	64.387
14.011	66.157
14.115	68.355
14.218	71.726
14.322	67.005
14.426	62.988
14.530	54.208
14.633	42.528
14.737	48.239
14.841	37.371
14.945	29.499
15.049	32.101
15.152	24.243
15.256	24.790
15.360	20.108
15.464	14.492
15.567	13.543
15.671	17.667
15.775	19.513
15.879	21.751
15.983	18.689
16.086	28.237
16.190	31.825
16.294	38.045
16.398	42.202
16.502	43.514
16.605	53.998
16.709	56.088
16.813	64.747
16.917	64.425
17.020	79.697
17.124	59.832
17.228	63.715
17.332	58.998
17.436	50.038
17.539	41.653
17.643	39.863
17.747	34.205
17.851	32.374
17.954	30.574
18.058	32.694
18.162	29.365
18.266	31.346
18.370	31.830
18.473	24.598
18.577	18.126
18.681	20.276
18.785	16.387
18.889	10.410
18.992	14.451
19.096	14.111
19.200	17.792
19.304	16.083
19.407	18.134
19.511	21.795
19.615	24.635
19.719	35.257
19.823	27.743
19.926	21.056
20.030	28.934
20.134	27.832
20.238	26.312
20.342	29.250
20.445	31.619
20.549	36.082
20.653	49.932
20.757	35.499
20.860	37.953
20.964	47.853
21.068	46.196
21.172	51.746
21.276	59.753
21.379	57.640
21.483	56.182
21.587	54.537
21.691	72.314
21.794	60.595
21.898	53.126
22.002	55.416
22.106	38.547
22.210	39.517
22.313	34.666
22.417	25.569
22.521	29.794
22.625	25.657
22.729	23.868
22.832	24.930
22.936	17.200
23.040	21.951
23.144	20.698
23.247	18.400
23.351	11.057
23.455	9.352
23.559	10.311
23.663	9.707
23.766	8.363
23.870	17.515
23.974	15.014
24.078	10.714
24.181	13.075
24.285	18.890
24.389	22.878
24.493	22.464
24.597	33.489
24.700	40.040
24.804	47.717
24.908	57.359
25.012	63.279
25.116	74.940
25.219	85.104
25.323	91.070
25.427	88.670
25.531	100.747
25.634	98.117
25.738	72.367
25.842	54.759
25.946	48.250
26.050	46.673
26.153	37.929
26.257	32.699
26.361	32.691
26.465	21.854
26.569	20.716
26.672	26.218
26.776	23.069
26.880	17.798
26.984	22.243
27.087	16.116
27.191	13.147
27.295	13.208
27.399	11.886
27.503	12.486
27.606	11.968
27.710	14.329
27.814	22.260
27.918	26.743
28.021	30.341
28.125	36.235
28.229	46.319
28.333	61.939
28.437	77.382
28.540	69.407
28.644	70.721
28.748	79.846
28.852	91.313
28.956	85.449
29.059	55.534
29.163	60.983
29.267	56.849
29.371	48.961
29.474	37.616
29.578	29.726
29.682	28.220
29.786	26.802
29.890	18.875
29.993	19.883
30.097	21.856
30.201	20.744
30.305	22.622
30.408	21.063
30.512	22.225
30.616	16.444
30.720	20.711
30.824	21.175
30.927	14.357
31.031	19.476
31.135	22.820
31.239	25.874
31.343	27.048
31.446	30.561
31.550	29.638
31.654	37.767
31.758	37.002
31.861	50.481
31.965	52.149
32.069	71.071
32.173	71.535
32.277	77.239
32.380	58.604
32.484	53.264
32.588	63.098
32.692	68.843
32.796	60.952
32.899	57.955
33.003	59.575
33.107	57.621
33.211	45.181
33.314	25.281
33.418	24.530
33.522	23.791
33.626	16.332
33.730	17.273
33.833	20.961
33.937	18.581
34.041	19.178
34.145	17.717
34.248	19.660
34.352	17.233
34.456	24.070
34.560	18.378
34.664	19.153
34.767	10.815
34.871	13.122
34.975	11.922
35.079	15.118
35.183	19.165
35.286	24.678
35.390	21.572
35.494	15.677
35.598	25.669
35.701	27.051
35.805	32.903
35.909	33.485
36.013	44.237
36.117	71.688
36.220	94.128
36.324	122.580
36.428	96.122
36.532	95.779
36.635	116.017
36.739	100.525
36.843	126.978
36.947	114.987
37.051	90.088
37.154	84.771
37.258	62.991
37.362	48.487
37.466	29.480
37.570	34.984
37.673	22.205
37.777	16.844
37.881	13.788
37.985	12.917
38.088	12.866
38.192	9.493
38.296	9.564
38.400	9.940
38.504	11.294
38.607	14.409
38.711	16.130
38.815	16.453
38.919	19.775
39.022	19.874
39.126	26.923
39.230	28.662
39.334	38.286
39.438	58.008
39.541	77.543
39.645	77.819
39.749	80.234
39.853	91.598
39.957	105.837
40.060	106.304
40.164	115.819
40.268	97.881
40.372	95.600
40.475	94.315
40.579	66.417
40.683	65.102
40.787	52.687
40.891	46.622
40.994	35.635
41.098	23.256
41.202	15.446
41.306	18.464
41.410	13.168
41.513	10.843
41.617	9.015
41.721	8.019
41.825	12.158
41.928	11.110
42.032	11.114
42.136	14.748
42.240	8.568
42.344	13.145
42.447	15.726
42.551	17.648
42.655	20.590
42.759	25.448
42.862	28.105
42.966	31.821
43.070	41.279
43.174	48.567
43.278	56.753
43.381	79.634
43.485	62.932
43.589	80.244
43.693	96.387
43.797	104.979
43.900	105.603
44.004	90.609
44.108	90.648
44.212	85.646
44.315	85.950
44.419	73.379
44.523	76.831
44.627	63.294
44.731	71.328
44.834	55.763
44.938	34.248
45.042	27.562
45.146	14.747
45.249	25.935
45.353	21.773
45.457	15.886
45.561	20.972
45.665	14.863
45.768	17.621
45.872	13.900
45.976	9.464
46.080	12.547
46.184	14.255
46.287	11.389
46.391	14.883
46.495	13.660
46.599	11.130
46.702	17.967
46.806	20.831
46.910	20.329
47.014	28.049
47.118	35.555
47.221	38.934
47.325	48.320
47.429	48.057
47.533	59.481
47.637	55.770
47.740	73.001
47.844	72.516
47.948	82.768
48.052	86.693
48.155	82.802
48.259	96.555
48.363	97.226
48.467	107.786
48.571	112.688
48.674	108.452
48.778	87.891
48.882	76.599
48.986	63.041
49.089	50.540
49.193	51.849
49.297	44.873
49.401	35.434
49.505	27.885
49.608	33.639
49.712	24.085
49.816	21.813
49.920	16.047
50.024	17.074
50.127	18.358
50.231	14.042
50.335	15.318
50.439	11.639
50.542	9.890
50.646	11.095
50.750	12.653
50.854	12.867
50.958	10.861
51.061	9.994
51.165	11.866
51.269	19.206
51.373	17.778
51.476	15.429
51.580	20.834
51.684	34.681
51.788	37.936
51.892	47.232
51.995	65.789
52.099	80.331
52.203	73.148
52.307	80.638
52.411	75.387
52.514	86.233
52.618	98.160
52.722	84.482
52.826	90.568
52.929	86.823
53.033	65.783
53.137	51.645
53.241	45.855
53.345	37.521
53.448	30.344
53.552	23.924
53.656	22.978
53.760	11.478
53.863	13.648
53.967	19.267
54.071	16.335
54.175	17.652
54.279	15.368
54.382	12.135
54.486	13.980
54.590	15.254
54.694	15.894
54.798	15.623
54.901	14.847
55.005	11.240
55.109	11.974
55.213	15.512
55.316	15.293
55.420	18.920
55.524	21.455
55.628	20.524
55.732	24.045
55.835	27.429
55.939	21.402
56.043	21.288
56.147	26.267
56.251	29.932
56.354	38.299
56.458	41.549
56.562	40.105
56.666	34.374
56.769	51.649
56.873	60.445
56.977	64.022
57.081	78.673
57.185	82.584
57.288	89.024
57.392	83.851
57.496	83.921
57.600	93.918
57.703	89.921
57.807	104.347
57.911	92.531
58.015	88.721
58.119	79.727
58.222	60.517
58.326	44.997
58.430	38.841
58.534	31.958
58.638	28.288
58.741	28.232
58.845	18.048
58.949	15.373
59.053	18.387
59.156	13.406
59.260	7.557
59.364	12.213
59.468	12.631
59.572	12.723
59.675	10.957
59.779	11.813
59.883	11.471
59.987	16.146
60.090	21.256
60.194	21.890
60.298	24.126
60.402	29.139
60.506	31.719
60.609	34.743
60.713	52.122
60.817	55.154
60.921	57.526
61.025	69.551
61.128	77.953
61.232	85.295
61.336	89.549
61.440	83.300
61.543	77.371
61.647	80.364
61.751	83.598
61.855	77.691
61.959	76.349
62.062	64.588
62.166	45.413
62.270	37.950
62.374	32.706
62.478	24.183
62.581	14.101
62.685	12.675
62.789	10.847
62.893	11.951
62.996	9.481
63.100	9.693
63.204	8.676
63.308	11.034
63.412	9.045
63.515	10.550
63.619	16.150
63.723	21.135
63.827	23.288
63.930	29.964
64.034	34.563
64.138	31.282
64.242	30.404
64.346	42.058
64.449	51.875
64.553	51.975
64.657	54.032
64.761	53.576
64.865	48.762
64.968	59.486
65.072	60.930
65.176	70.120
65.280	65.905
65.383	72.088
65.487	51.629
65.591	42.907
65.695	44.420
65.799	50.379
65.902	39.506
66.006	32.255
66.110	32.224
66.214	29.311
66.317	31.511
66.421	26.156
66.525	24.435
66.629	21.321
66.733	24.778
66.836	15.606
66.940	17.278
67.044	15.072
67.148	15.289
67.252	19.056
67.355	18.430
67.459	16.681
67.563	12.884
67.667	13.116
67.770	13.711
67.874	17.179
67.978	15.698
68.082	24.585
68.186	26.432
68.289	34.291
68.393	37.008
68.497	35.899
68.601	37.111
68.704	48.142
68.808	61.086
68.912	66.495
69.016	74.176
69.120	72.087
69.223	60.719
69.327	72.643
69.431	74.064
69.535	70.145
69.639	58.987
69.742	50.765
69.846	41.543
69.950	33.767
70.054	31.140
70.157	27.559
70.261	19.720
70.365	27.877
70.469	14.650
70.573	13.568
70.676	13.976
70.780	12.717
70.884	12.604
70.988	12.789
71.092	16.662
71.195	12.476
71.299	16.221
71.403	26.297
71.507	34.938
71.610	38.699
71.714	46.119
71.818	47.559
71.922	71.050
72.026	64.821
72.129	76.515
72.233	87.340
72.337	86.608
72.441	73.193
72.544	70.639
72.648	64.931
72.752	59.561
72.856	64.961
72.960	50.979
73.063	30.918
73.167	29.435
73.271	23.834
73.375	19.548
73.479	21.792
73.582	20.231
73.686	13.392
73.790	12.985
73.894	15.748
73.997	19.320
74.101	15.158
74.205	22.617
74.309	25.265
74.413	37.775
74.516	38.908
74.620	44.157
74.724	56.970
74.828	50.087
74.931	73.370
75.035	65.022
75.139	69.418
75.243	60.435
75.347	48.481
75.450	43.785
75.554	54.770
75.658	40.173
75.762	27.919
75.866	25.017
75.969	18.598
76.073	24.723
76.177	24.687
76.281	15.882
76.384	21.526
76.488	20.213
76.592	17.365
76.696	15.670
76.800	10.697
76.903	14.774
77.007	17.277
77.111	29.032
77.215	42.202
77.319	47.219
77.422	53.050
77.526	46.542
77.630	41.530
77.734	47.748
77.837	43.900
77.941	43.815
78.045	47.743
78.149	47.171
78.253	36.057
78.356	30.719
78.460	31.484
78.564	48.194
78.668	34.295
78.771	34.881
78.875	25.678
78.979	29.811
79.083	34.954
79.187	36.502
79.290	31.398
79.394	35.356
79.498	21.751
79.602	25.783
79.706	28.316
79.809	29.038
79.913	31.010
80.017	32.716
80.121	30.577
80.224	31.757
80.328	43.408
80.432	31.382
80.536	29.123
80.640	28.653
80.743	27.218
80.847	34.129
80.951	42.795
81.055	34.094
81.158	27.606
81.262	44.832
81.366	38.690
81.470	40.292
81.574	41.468
81.677	36.617
81.781	22.591
81.885	30.159
81.989	22.441
82.093	18.118
82.196	24.531
82.300	22.637
82.404	18.336
82.508	17.628
82.611	15.166
82.715	19.392
82.819	21.008
82.923	18.952
83.027	20.792
83.130	16.321
83.234	19.749
83.338	15.706
83.442	19.666
83.546	26.339
83.649	23.479
83.753	30.178
83.857	32.380
83.961	33.227
84.064	40.351
84.168	36.788
84.272	44.928
84.376	53.074
84.480	63.522
84.583	60.213
84.687	60.031
84.791	55.155
84.895	54.024
84.998	40.733
85.102	52.813
85.206	39.511
85.310	42.186
85.414	31.641
85.517	23.604
85.621	20.304
85.725	19.102
85.829	18.690
85.933	13.826
86.036	8.563
86.140	11.703
86.244	10.505
86.348	9.829
86.451	12.821
86.555	11.632
86.659	10.645
86.763	13.922
86.867	13.287
86.970	14.929
87.074	21.989
87.178	24.851
87.282	19.248
87.385	30.165
87.489	28.781
87.593	34.994
87.697	39.232
87.801	45.448
87.904	54.300
88.008	49.912
88.112	52.118
88.216	57.830
88.320	58.110
88.423	65.616
88.527	67.786
88.631	70.563
88.735	60.693
88.838	43.510
88.942	46.465
89.046	48.549
89.150	44.493
89.254	26.932
89.357	18.632
89.461	21.835
89.565	12.589
89.669	18.030
89.772	14.813
89.876	8.077
89.980	7.217
90.084	9.701
90.188	8.006
90.291	9.745
90.395	6.502
90.499	8.183
90.603	11.471
90.707	12.230
90.810	14.723
90.914	14.933
91.018	16.582
91.122	19.187
91.225	19.794
91.329	24.156
91.433	26.933
91.537	29.705
91.641	37.115
91.744	43.839
91.848	50.116
91.952	47.203
92.056	43.790
92.160	44.016
92.263	46.439
92.367	50.071
92.471	47.904
92.575	39.373
92.678	35.821
92.782	41.790
92.886	57.089
92.990	42.258
93.094	44.758
93.197	50.125
93.301	42.768
93.405	32.983
93.509	37.577
93.612	31.220
93.716	23.408
93.820	15.369
93.924	13.178
94.028	10.888
94.131	10.913
94.235	13.919
94.339	19.750
94.443	9.051
94.547	14.769
94.650	13.974
94.754	19.654
94.858	24.683
94.962	37.208
95.065	39.450
95.169	58.556
95.273	70.266
95.377	67.251
95.481	75.351
95.584	85.476
95.688	83.003
95.792	69.891
95.896	61.709
95.999	52.606
96.103	43.163
96.207	30.426
96.311	25.255
96.415	27.747
96.518	17.991
96.622	17.442
96.726	10.416
96.830	8.584
96.934	9.028
97.037	11.031
97.141	9.514
97.245	10.396
97.349	8.157
97.452	9.516
97.556	12.693
97.660	11.512
97.764	10.049
97.868	6.478
97.971	11.573
98.075	14.276
98.179	13.712
98.283	15.477
98.387	23.111
98.490	31.795
98.594	37.223
98.698	48.885
98.802	56.428
