Distance_(microns)	Gray_Value
0.0000	25.000
0.1038	27.062
0.2076	28.039
0.3113	26.886
0.4151	47.078
0.5189	54.863
0.6227	59.561
0.7265	62.226
0.8303	69.133
0.9340	61.404
1.0378	60.019
1.1416	46.671
1.2454	45.067
1.3492	39.737
1.4530	27.206
1.5567	12.873
1.6605	17.089
1.7643	22.598
1.8681	23.697
1.9719	20.855
2.0757	23.482
2.1794	25.924
2.2832	21.371
2.3870	29.909
2.4908	33.601
2.5946	37.677
2.6984	33.843
2.8021	46.703
2.9059	56.004
3.0097	69.653
3.1135	89.987
3.2173	87.686
3.3211	96.509
3.4248	109.074
3.5286	95.973
3.6324	68.566
3.7362	64.309
3.8400	58.526
3.9438	39.885
4.0475	35.887
4.1513	27.459
4.2551	30.735
4.3589	34.488
4.4627	40.880
4.5665	47.131
4.6702	56.606
4.7740	67.217
4.8778	84.196
4.9816	95.034
5.0854	87.100
5.1892	70.434
5.2929	74.044
5.3967	68.226
5.5005	32.803
5.6043	36.319
5.7081	28.290
5.8119	32.652
5.9156	30.191
6.0194	27.344
6.1232	26.012
6.2270	32.557
6.3308	34.522
6.4346	40.124
6.5383	53.190
6.6421	81.923
6.7459	105.639
6.8497	117.184
6.9535	117.666
7.0573	95.812
7.1610	119.483
7.2648	103.550
7.3686	80.184
7.4724	61.013
7.5762	48.127
7.6800	42.027
7.7837	52.681
7.8875	46.230
7.9913	44.647
8.0951	42.298
8.1989	72.697
8.3027	86.713
8.4064	117.912
8.5102	122.389
8.6140	135.514
8.7178	145.348
8.8216	122.270
8.9254	124.603
9.0291	78.263
9.1329	63.345
9.2367	50.139
9.3405	43.969
9.4443	32.164
9.5481	25.975
9.6518	27.091
9.7556	15.367
9.8594	28.096
9.9632	37.404
10.0670	33.709
10.1708	48.613
10.2745	75.040
10.3783	104.911
10.4821	119.150
10.5859	123.690
10.6897	119.260
10.7935	89.951
10.8972	77.519
11.0010	75.131
11.1048	57.247
11.2086	49.065
11.3124	56.679
11.4162	42.676
11.5199	47.864
11.6237	58.112
11.7275	84.768
11.8313	108.272
11.9351	122.780
12.0389	140.444
12.1426	122.521
12.2464	98.425
12.3502	84.377
12.4540	73.428
12.5578	50.065
12.6616	39.284
12.7653	30.861
12.8691	24.235
12.9729	26.314
13.0767	29.539
13.1805	39.064
13.2843	30.296
13.3880	43.795
13.4918	62.499
13.5956	92.172
13.6994	107.420
13.8032	121.880
13.9070	136.461
14.0107	175.953
14.1145	158.648
14.2183	163.362
14.3221	149.955
14.4259	150.751
14.5297	126.171
14.6334	115.240
14.7372	107.943
14.8410	100.400
14.9448	102.174
15.0486	83.513
15.1524	60.137
15.2561	46.842
15.3599	34.548
15.4637	22.852
15.5675	22.692
15.6713	25.658
15.7751	23.329
15.8788	20.692
15.9826	25.089
16.0864	27.733
16.1902	27.808
16.2940	35.016
16.3978	32.730
16.5015	54.428
16.6053	71.257
16.7091	105.691
16.8129	159.260
16.9167	170.101
17.0205	177.968
17.1242	169.158
17.2280	179.529
17.3318	190.081
17.4356	197.173
17.5394	177.431
17.6431	195.337
17.7469	161.785
17.8507	120.245
17.9545	104.731
18.0583	77.810
18.1621	48.660
18.2658	32.552
18.3696	26.718
18.4734	23.488
18.5772	18.221
18.6810	15.872
18.7848	10.874
18.8885	13.037
18.9923	18.660
19.0961	26.170
19.1999	29.538
19.3037	38.169
19.4075	54.548
19.5112	75.209
19.6150	117.539
19.7188	173.120
19.8226	199.243
19.9264	185.119
20.0302	178.194
20.1339	167.990
20.2377	173.024
20.3415	138.990
20.4453	90.925
20.5491	54.175
20.6529	34.509
20.7566	28.904
20.8604	28.934
20.9642	34.453
21.0680	27.783
21.1718	38.647
21.2756	48.907
21.3793	57.461
21.4831	102.498
21.5869	135.478
21.6907	147.353
21.7945	151.014
21.8983	114.300
22.0020	87.211
22.1058	51.748
22.2096	29.895
22.3134	26.842
22.4172	23.867
22.5210	24.160
22.6247	20.766
22.7285	35.041
22.8323	51.842
22.9361	70.313
23.0399	97.884
23.1437	129.396
